DESCRIPTION
"indicator red fast movement 1.6a 250v holder plastic 5 x 20mm ceramic box ccc/pse/vde/culus electric indicator, very fast blow, 1.6a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"non resettable indicators electric indicator, very fast blow, 6.3a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic box kc/pse/vde/culus electric indicator, very fast blow, 8a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"non resettable indicators electric indicator, very fast blow, 10a, 250vac, 1500a (ir), inline/holder, 5x20mm"
"indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic box pse/culus electric indicator, very fast blow, 12.5a, 250vac, 500a (ir), inline/holder, 5x20mm"
"indicator red fast movement 12.5a 250v holder plastic 5 x 20mm ceramic bulk pse/culus electric indicator, very fast blow, 12.5a, 250vac, 500a (ir), inline/holder, 5x20mm"
"indicator red fast movement 20a 250v holder plastic 6.3 x 32mm glass box electric indicator, very fast blow, 20a, 250vac, 1000a (ir), h, inline/holder"
"indicator red slow blow movement 1a 250v holder plastic melf 5 x 20mm ceramic box ccc/csa/pse/vde/culus electric indicator, time lag blow, 1a, 250vac, 300vdc, 1500a (ir), inline/holder, 5x20mm"
"non resettable indicators electric indicator, time lag blow, 2a, 250vac, 300vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 2a 250v axial 5 x 20mm ceramic t/r culus electric indicator, time lag blow, 2a, 250vac, 300vdc, 1500a (ir), through hole"
"red indicator, 5 x 20 mm electric indicator, time lag blow, 2.5a, 250vac, 300vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 2.5a 250v holder plastic melf 5 x 20mm ceramic bulk ccc/csa/pse/ul/culus electric indicator, time lag blow, 2.5a, 250vac, 300vdc, 1500a (ir), inline/holder, 5x20mm"
"indicator red slow blow movement 3.15a 250v holder plastic 5 x 20mm ceramic bulk ccc/csa/pse/ul/vde/culus electric indicator, time lag blow, 3.15a, 250vac, 300vdc, 1500a (ir), inline/holder, 5x20mm"
"non resettable indicators electric indicator, time lag blow, 4a, 250vac, 150vdc, 1500a (ir), inline/holder, 5x20mm"
